epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,1489.42,1.08885,0.58845,1.15205,0.80899,0.70789,0.67883,0.30536,1.90533,0.87132,1.27073,0.000577782,0.000577782,0.000577782
68,1511.06,1.10035,0.5941,1.15754,0.79162,0.69219,0.68371,0.30956,1.90402,0.85257,1.26107,0.000561279,0.000561279,0.000561279
69,1534.23,1.05586,0.58414,1.15224,0.7713,0.69895,0.69948,0.31844,1.90532,0.84785,1.27931,0.000544776,0.000544776,0.000544776
70,1555.55,1.06266,0.5827,1.15721,0.82437,0.66966,0.69547,0.32893,1.93088,0.87691,1.26651,0.000528272,0.000528272,0.000528272
71,1578.37,1.07904,0.59284,1.16021,0.79824,0.69992,0.68191,0.32324,1.87162,0.84715,1.25013,0.000511769,0.000511769,0.000511769
72,1599.07,1.06479,0.57685,1.14307,0.79035,0.69442,0.6774,0.33114,1.88511,0.86587,1.26573,0.000495266,0.000495266,0.000495266
73,1621.75,1.02581,0.57395,1.14434,0.77487,0.70089,0.69469,0.32512,1.88807,0.8486,1.25567,0.000478762,0.000478762,0.000478762
74,1642.63,1.02944,0.56008,1.1416,0.77796,0.70802,0.69592,0.33621,1.93336,0.85627,1.27781,0.000462259,0.000462259,0.000462259
75,1665.44,1.09005,0.58124,1.14624,0.80601,0.69507,0.69614,0.32946,1.93332,0.8523,1.28466,0.000445756,0.000445756,0.000445756
76,1687.75,1.04114,0.57067,1.1449,0.83334,0.71065,0.72141,0.33135,1.9473,0.86247,1.29787,0.000429253,0.000429253,0.000429253
77,1709.44,1.02658,0.56382,1.14204,0.78938,0.68961,0.69534,0.32645,1.9365,0.83982,1.28398,0.000412749,0.000412749,0.000412749
78,1733,1.04824,0.57369,1.14501,0.75694,0.71191,0.68182,0.32922,1.91709,0.84961,1.27884,0.000396246,0.000396246,0.000396246
79,1754.1,1.09034,0.58702,1.13955,0.81737,0.67472,0.69915,0.33034,1.89904,0.85357,1.27582,0.000379743,0.000379743,0.000379743
80,1776.87,1.04341,0.56055,1.1365,0.79342,0.69495,0.7008,0.31925,1.91204,0.84968,1.26766,0.000363239,0.000363239,0.000363239
81,1798.05,1.03927,0.55485,1.13922,0.75511,0.70867,0.67026,0.29875,1.88688,0.8339,1.28163,0.000346736,0.000346736,0.000346736
